TITLE,DEPARTMENT,PERCENTAGE,FOAPAL_SALARY,TOTAL_SALARY,OTHER_SALARY,TENURE,DEGREE,DEGREE_DESC,YEARS_HERE,YEARS_TOTAL,POSITION_FTE,JOB FTE,BUDGET_FTE,JOB_PCT,MONTHS_EMPL,POSN_ECLS
Associate Professor,Chemistry,100,"76,285.00","76,285.00",0.00,T,PHD,Doctor of Philosophy,35,34,1,1,1,100,9,F9
Associate Professor,Chemistry,100,"77,184.00","80,304.00","3,120.00",T,PHD,Doctor of Philosophy,11,13,1,1,1,100,9,F9
Associate Professor,Chemistry,100,"71,066.00","71,066.00",0.00,T,PHD,Doctor of Philosophy,34,34,1,1,1,100,9,F9
Instructor,Chemistry,100,"50,239.00","50,239.00",0.00,N,PHD,Doctor of Philosophy,5,6,1,1,1,100,9,F9
Professor,Chemistry,100,"93,476.00","93,476.00",0.00,T,PHD,Doctor of Philosophy,38,37,1,1,1,100,9,F9
Professor,Chemistry,100,"85,781.00","95,781.00","10,000.00",T,PHD,Doctor of Philosophy,6,29,1,1,1,100,9,F9
Professor,Chemistry,100,"95,567.00","98,687.00","3,120.00",T,PHD,Doctor of Philosophy,16,17,1,1,1,100,9,F9
Professor,Chemistry,100,"88,130.00","91,250.00","3,120.00",T,PHD,Doctor of Philosophy,20,21,1,1,1,100,9,F9
Professor,Chemistry,100,"84,180.00","87,300.00","3,120.00",T,PHD,Doctor of Philosophy,12,12,1,1,1,100,9,F9
Assistant Professor,Civil Engineering,100,"92,000.00","92,000.00",0.00,O,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Assistant Professor,Civil Engineering,100,"85,578.00","85,578.00",0.00,O,PHD,Doctor of Philosophy,3,3,1,1,1,100,9,F9
Instructor,Civil Engineering,100,"82,000.00","82,000.00",0.00,N,PHD,Doctor of Philosophy,1,1,1,1,1,100,9,F9
Professor,Civil Engineering,100,"101,399.00","113,879.00","12,480.00",T,PHD,Doctor of Philosophy,11,12,1,1,1,100,9,F9
Professor,Civil Engineering,100,"136,083.00","146,083.00","10,000.00",T,PHD,Doctor of Philosophy,15,16,1,1,1,100,9,F9
Professor,Civil Engineering,100,"122,567.00","122,567.00",0.00,T,PHD,Doctor of Philosophy,41,41,1,1,1,100,9,F9
Professor,Civil Engineering,100,"98,094.00","104,334.00","6,240.00",T,PHD,Doctor of Philosophy,18,18,1,1,1,100,9,F9
Professor,Civil Engineering,100,"129,409.00","142,529.00","13,120.00",T,PHD,Doctor of Philosophy,12,12,1,1,1,100,9,F9
Professor,Civil Engineering,100,"118,391.00","124,631.00","6,240.00",T,PHD,Doctor of Philosophy,24,25,1,1,1,100,9,F9
Instructor,Civil Engineering,57.69,"46,560.00","80,707.00","34,147.00",N,MS,Master of Science,2,2,1,1,1,100,9,F9
Assistant Professor,Cntr Fr Adv Computer Study,100,"92,714.00","95,834.00","3,120.00",O,PHD,Doctor of Philosophy,3,3,1,1,1,100,9,F9
Assistant Professor,Cntr Fr Adv Computer Study,100,"98,604.00","98,604.00",0.00,O,PHD,Doctor of Philosophy,2,2,2,1,1,100,9,F9
